Skenario Ke,Kernel,Jumlah Kalimat,Threshold,Accuracy,Waktu Komputasi (detik)
Skenario Ke- 167,sigmoid,10,0.5,0.42,0.014897823333740234
Skenario Ke- 168,sigmoid,10,0.6,0.44,0.02738189697265625
Skenario Ke- 169,sigmoid,10,0.7,0.34,0.01601886749267578
Skenario Ke- 170,sigmoid,10,0.8,0.42,0.01462554931640625
Skenario Ke- 171,sigmoid,10,0.9,0.48,0.014998197555541992
Skenario Ke- 172,sigmoid,11,0.1,0.42,0.014590024948120117
Skenario Ke- 173,sigmoid,11,0.2,0.36,0.015043020248413086
Skenario Ke- 174,sigmoid,11,0.3,0.24,0.02497124671936035
Skenario Ke- 175,sigmoid,11,0.4,0.34,0.016123294830322266
Skenario Ke- 176,sigmoid,11,0.5,0.3,0.014782190322875977
Skenario Ke- 177,sigmoid,11,0.6,0.38,0.014469623565673828
Skenario Ke- 178,sigmoid,11,0.7,0.42,0.014714717864990234
Skenario Ke- 179,sigmoid,11,0.8,0.32,0.01677727699279785
Skenario Ke- 180,sigmoid,11,0.9,0.4,0.024141311645507812
Skenario Ke- 181,sigmoid,12,0.1,0.48,0.024457216262817383
Skenario Ke- 182,sigmoid,12,0.2,0.44,0.01815485954284668
Skenario Ke- 183,sigmoid,12,0.3,0.4,0.014658927917480469
Skenario Ke- 184,sigmoid,12,0.4,0.46,0.017127275466918945
Skenario Ke- 185,sigmoid,12,0.5,0.34,0.015517950057983398
Skenario Ke- 186,sigmoid,12,0.6,0.38,0.01812124252319336
Skenario Ke- 187,sigmoid,12,0.7,0.3,0.024519920349121094
Skenario Ke- 188,sigmoid,12,0.8,0.46,0.014812231063842773
Skenario Ke- 189,sigmoid,12,0.9,0.44,0.015282392501831055
Skenario Ke- 190,sigmoid,13,0.1,0.3,0.014545917510986328
Skenario Ke- 191,sigmoid,13,0.2,0.34,0.01569819450378418
Skenario Ke- 192,sigmoid,13,0.3,0.46,0.018680572509765625
Skenario Ke- 193,sigmoid,13,0.4,0.4,0.021502971649169922
Skenario Ke- 194,sigmoid,13,0.5,0.48,0.02502918243408203
Skenario Ke- 195,sigmoid,13,0.6,0.36,0.014164924621582031
Skenario Ke- 196,sigmoid,13,0.7,0.4,0.014204263687133789
Skenario Ke- 197,sigmoid,13,0.8,0.34,0.014639854431152344
Skenario Ke- 198,sigmoid,13,0.9,0.46,0.014371633529663086
Skenario Ke- 199,sigmoid,14,0.1,0.44,0.014696359634399414
Skenario Ke- 200,sigmoid,14,0.2,0.36,0.02294754981994629
Skenario Ke- 201,sigmoid,14,0.3,0.46,0.014637231826782227
Skenario Ke- 202,sigmoid,14,0.4,0.42,0.015870094299316406
Skenario Ke- 203,sigmoid,14,0.5,0.54,0.016068458557128906
Skenario Ke- 204,sigmoid,14,0.6,0.36,0.014943361282348633
Skenario Ke- 205,sigmoid,14,0.7,0.36,0.016927719116210938
Skenario Ke- 206,sigmoid,14,0.8,0.36,0.022180795669555664
Skenario Ke- 207,sigmoid,14,0.9,0.36,0.015288591384887695
Skenario Ke- 208,sigmoid,15,0.1,0.38,0.014626502990722656
Skenario Ke- 209,sigmoid,15,0.2,0.38,0.014806509017944336
Skenario Ke- 210,sigmoid,15,0.3,0.36,0.014369964599609375
Skenario Ke- 211,sigmoid,15,0.4,0.42,0.014678239822387695
Skenario Ke- 212,sigmoid,15,0.5,0.44,0.014627695083618164
Skenario Ke- 213,sigmoid,15,0.6,0.42,0.02281332015991211
Skenario Ke- 214,sigmoid,15,0.7,0.38,0.014768838882446289
Skenario Ke- 215,sigmoid,15,0.8,0.38,0.024873733520507812
Skenario Ke- 216,sigmoid,15,0.9,0.42,0.01476907730102539
